country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Afghanistan,AFG,Asia,Southern Asia,2014,BiocapPerCap,0.251691077,0.187020286,0.019240324,0,0.046125014,0,0.504076701,610.242,31628000
Albania,ALB,Europe,Southern Europe,2014,BiocapPerCap,0.395455656,0.21857232,0.315863091,0.081883656,0.039772281,0,1.051547003,4413.56,2890000
Algeria,DZA,Africa,Northern Africa,2014,BiocapPerCap,0.202869592,0.274074612,0.028272274,0.008251253,0.028062842,0,0.541530572,4675.89,38934000
Angola,AGO,Africa,Middle Africa,2014,BiocapPerCap,0.24950477,1.229495166,0.53937284,0.22470559,0.047258079,0,2.290336445,3747.57,24228000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,0.933321582,12403.5,91000
Argentina,ARG,Latin America and the Caribbean,South America,2014,BiocapPerCap,2.588882258,1.792340705,0.610837954,1.611977007,0.105008823,0,6.709046747,10323.2,42980000
Armenia,ARM,Asia,Western Asia,2014,BiocapPerCap,0.353566421,0.261703193,0.093546309,0.01553377,0.061555927,0,0.78590562,3827.34,3006000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,0.571144371,0,103000
Australia,AUS,Oceania,Australia and New Zealand,2014,BiocapPerCap,2.36218343,5.732847304,1.954944064,3.137665027,0.063370027,0,13.25100985,54394.3,23622000
Austria,AUT,Europe,Western Europe,2014,BiocapPerCap,0.696275871,0.149234766,2.014664741,0.003093079,0.151161595,0,3.014430052,47886.6,8517000
Azerbaijan,AZE,Asia,Western Asia,2014,BiocapPerCap,0.336213487,0.194118536,0.113214161,0.015032555,0.046346409,0,0.704925149,6122.98,9630000
Bahamas,BHS,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.049459591,0.002386611,1.139340399,8.106362114,0.042399646,0,9.339948362,21078.7,383000
Bahrain,BHR,Asia,Western Asia,2014,BiocapPerCap,0.00847075,0,0.000814141,0.451329674,0.074089047,0,0.534703612,22390.7,1362000
Bangladesh,BGD,Asia,Southern Asia,2014,BiocapPerCap,0.271160639,0.003272654,0.004030504,0.052433937,0.078248622,0,0.409146356,922.161,159078000
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.063847319,0.00322606,0.018839857,0.043917094,0.034084518,0,0.163914849,15864.6,283000
Belarus,BLR,Europe,Eastern Europe,2014,BiocapPerCap,1.380207191,0.271239178,1.684471114,0.018151554,0.080584021,0,3.434653059,6664.1,9500000
Belgium,BEL,Europe,Western Europe,2014,BiocapPerCap,0.397274242,0.032348519,0.275633307,0.043178824,0.190681115,0,0.939116008,44702.3,11226000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.537233108,0.213426666,2.196911298,1.028453174,0.000562586,0,3.976586831,4415.99,352000
Benin,BEN,Africa,Western Africa,2014,BiocapPerCap,0.526021063,0.035140561,0.309530356,0.021470755,0.044122975,0,0.93628571,833.662,10598000
Bermuda,BMU,North America,North America,2014,BiocapPerCap,0,0,0,0,0,0,0.138041268,0,62000
Bhutan,BTN,Asia,Southern Asia,2014,BiocapPerCap,0.286498676,0.338065611,4.245713972,0.013313663,0.25875461,0,5.142346533,2500.26,765000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.677363278,2.182649876,13.50984094,0.053194296,0.064734735,0,16.48778313,2317.26,10562000
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2014,BiocapPerCap,0.278773635,0.188779869,1.127376419,0.003120516,0.014372216,0,1.612422655,4992.91,3818000
Botswana,BWA,Africa,Southern Africa,2014,BiocapPerCap,0.050001841,2.265173347,0.555452468,0.248447031,0.014983594,0,3.134058281,7574.28,2220000
Brazil,BRA,Latin America and the Caribbean,South America,2014,BiocapPerCap,1.130654383,0.972521971,6.490059901,0.165511156,0.093618999,0,8.852366409,11866.4,206078000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,BiocapPerCap,0.016907585,0.010929711,1.53890609,1.239506187,0.023872434,0,2.830122007,33313.8,417000
Bulgaria,BGR,Europe,Eastern Europe,2014,BiocapPerCap,1.775250054,0.066787269,1.212419976,0.121231012,0.160412924,0,3.336101235,7299.55,7201000
Burkina Faso,BFA,Africa,Western Africa,2014,BiocapPerCap,0.646450496,0.16071149,0.231364491,0.001296073,0.075152199,0,1.114974748,639.71,17589000
Burundi,BDI,Africa,Eastern Africa,2014,BiocapPerCap,0.212892808,0.060671284,0.008633238,0.007308351,0.034468994,0,0.323974676,243.102,10817000
Côte d'Ivoire,CIV,Africa,Western Africa,2014,BiocapPerCap,0.899267883,0.526154473,0.423206522,0.037544287,0.088188407,0,1.974361572,1384.91,22157000
Cabo Verde,CPV,Africa,Western Africa,2014,BiocapPerCap,0,0,0,0,0,0,0.602903885,3369.64,514000
Cambodia,KHM,Asia,South-Eastern Asia,2014,BiocapPerCap,0,0,0,0,0,0,1.108491962,972.979,15328000
Cameroon,CMR,Africa,Middle Africa,2014,BiocapPerCap,0.603036548,0.091767152,0.847776623,0.0744276,0.060076215,0,1.677084138,1428.22,22773000
Canada,CAN,North America,North America,2014,BiocapPerCap,2.680989815,0.287491787,8.849942308,3.368667392,0.062374002,0,15.2494653,50067,35588000
Cayman Islands,CYM,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,0.308809547,0,59000
Central African Republic,CAF,Africa,Middle Africa,2014,BiocapPerCap,0.281430111,0.540059331,6.504782177,0,0.036480229,0,7.362751848,302.546,4804000
Chad,TCD,Africa,Middle Africa,2014,BiocapPerCap,0.442676124,1.061442689,0.35866436,0.067113316,0.062813633,0,1.992710123,967.103,13587000
Chile,CHL,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.326726464,0.44466666,2.212121467,0.377413818,0.108311411,0,3.46923982,14702,17763000
China,CHN,Asia,Eastern Asia,2014,BiocapPerCap,0.480241556,0.104179915,0.224600007,0.043792252,0.122479064,0,0.975292794,6108.24,1400602000
Colombia,COL,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.264543703,1.203520871,2.070103667,0.068873295,0.100967946,0,3.708009483,7291.69,47791000
Comoros,COM,Africa,Eastern Africa,2014,BiocapPerCap,0,0,0,0,0,0,0.334159352,779.84,770000
Congo,COG,Africa,Middle Africa,2014,BiocapPerCap,0.145769545,2.975135568,6.988249841,0.343191107,0.035368991,0,10.48771505,2922.97,4505000
"Congo, Democratic Republic of",COD,Africa,Middle Africa,2014,BiocapPerCap,0.12128034,0.283237673,2.185928856,0.040862775,0.051289455,0,2.682599099,378.791,74877000
Cook Islands,COK,Oceania,Polynesia,2014,BiocapPerCap,0,0,0,0,0,0,1.195920172,0,21000
Costa Rica,CRI,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.410395689,0.303944103,0.645637339,0.120995685,0.103832896,0,1.584805712,9077.42,4758000
Croatia,HRV,Europe,Southern Europe,2014,BiocapPerCap,0.707058674,0.324949761,1.555020459,0.339775731,0.066924029,0,2.993728654,13517.8,4256000
Cuba,CUB,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.278231007,0.090336658,0.233695729,0.165022492,0.027870361,0,0.795156247,6182.77,11379000
Cyprus,CYP,Asia,Western Asia,2014,BiocapPerCap,0,0,0,0,0,0,0.243908148,26977.6,1154000
Czech Republic,CZE,Europe,Eastern Europe,2014,BiocapPerCap,1.111152305,0.070137327,1.317886423,0.002016028,0.152414316,0,2.653606398,20343.7,10543000
Denmark,DNK,Europe,Northern Europe,2014,BiocapPerCap,2.061550175,0.00767642,0.33856948,1.803498451,0.214075999,0,4.425370526,59437.9,5647000
Djibouti,DJI,Africa,Eastern Africa,2014,BiocapPerCap,0.017662544,0.230677638,0.002199198,0.298884397,0.203466327,0,0.752890104,1508.29,876000
Dominica,DMA,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,1.049555575,6951.03,72000
Dominican Republic,DOM,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.249682211,0.110682757,0.158363519,0.024213031,0.052805086,0,0.595746604,6193.76,10406000
Ecuador,ECU,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.363882251,0.18591085,1.34210089,0.105493917,0.073946622,0,2.071334529,5428.71,15903000
Egypt,EGY,Africa,Northern Africa,2014,BiocapPerCap,0,0,0,0,0,0,0.473452314,2608.38,89580000
El Salvador,SLV,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.258053147,0.1534627,0.04263535,0.115858751,0.043906953,0,0.6139169,3668.2,6108000
Equatorial Guinea,GNQ,Africa,Middle Africa,2014,BiocapPerCap,0.124190568,0.132756097,2.710555414,0.913622752,0.025603543,0,3.906728373,16028.3,821000
Eritrea,ERI,Africa,Eastern Africa,2014,BiocapPerCap,0.081795576,0.223336593,0.101964509,1.121619081,0.025289253,0,1.554005012,0,5110000
Estonia,EST,Europe,Northern Europe,2014,BiocapPerCap,1.227841063,0.085793368,4.015790354,4.326054289,0.073213584,0,9.728692658,17453.4,1316000
Ethiopia,ETH,Africa,Eastern Africa,2014,BiocapPerCap,0.35643242,0.115087319,0.044212207,0.039553169,0.071613153,0,0.626898268,452.778,96959000
Fiji,FJI,Oceania,Melanesia,2014,BiocapPerCap,0.298339771,0.090239258,1.286932072,0.650418248,0.045640736,0,2.371570085,4084.2,886000
Finland,FIN,Europe,Northern Europe,2014,BiocapPerCap,0.877661268,0.047344169,9.477649474,2.3064549,0.155198054,0,12.86430787,45239.4,5480000
France,FRA,Europe,Western Europe,2014,BiocapPerCap,1.332077679,0.159239645,0.957672576,0.112552391,0.164222481,0,2.725764771,41431,64159000
French Guiana,GUF,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.106051503,0.064110874,87.61616996,15.06795922,0.005633596,0,102.8599252,35657.5,261000
French Polynesia,PYF,Oceania,Polynesia,2014,BiocapPerCap,0.203573103,0.032675593,0.707486139,0.415900899,0,0,1.359635734,0,280000
Gabon,GAB,Africa,Middle Africa,2014,BiocapPerCap,0.258422423,3.510860869,19.03008796,2.862054244,0.034340217,0,25.69576571,9508.15,1688000
Gambia,GMB,Africa,Western Africa,2014,BiocapPerCap,0.166488006,0.036581652,0.189759297,0.299358727,0.020546603,0,0.712734285,530.318,1928000
Georgia,GEO,Asia,Western Asia,2014,BiocapPerCap,0.13254871,0.394555049,0.648434635,0.049078733,0.030698023,0,1.25531515,3851.72,4035000
Germany,DEU,Europe,Western Europe,2014,BiocapPerCap,0.805887552,0.064127484,0.688715355,0.075076886,0.156701515,0,1.790508793,45022.6,80646000
Ghana,GHA,Africa,Western Africa,2014,BiocapPerCap,0.704182546,0.243915151,0.274124782,0.05745944,0.080972525,0,1.360654444,1659.78,26787000
Greece,GRC,Europe,Southern Europe,2014,BiocapPerCap,0.995684472,0.144112591,0.231897469,0.175215822,0.057068144,0,1.603978498,22565.7,11001000
Grenada,GRD,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,2.176618455,7932.67,106000
Guadeloupe,GLP,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.115178629,0.026969028,0.132142361,0.178567456,0.002941259,0,0.455798733,0,466000
Guatemala,GTM,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.450778347,0.150137888,0.314556798,0.044410367,0.088553493,0,1.048436893,3007.9,16015000
Guinea,GIN,Africa,Western Africa,2014,BiocapPerCap,0.361450522,0.708684562,0.587522172,0.287078998,0.04312685,0,1.987863103,699.964,12276000
Guinea-Bissau,GNB,Africa,Western Africa,2014,BiocapPerCap,0.519745425,0.33220835,0.3101213,1.671321206,0.065965714,0,2.899361996,545.898,1801000
Guyana,GUY,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.787026306,1.583790993,60.98477365,5.376086119,0.070200824,0,68.80187789,3598.29,764000
Haiti,HTI,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.236820038,0.031488199,0.007839493,0.011670644,0.035793331,0,0.323611705,728.78,10572000
Honduras,HND,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0,0,0,0,0,0,1.729550008,2059.47,7962000
Hungary,HUN,Europe,Eastern Europe,2014,BiocapPerCap,1.744280923,0.059304395,0.694481443,0.004772937,0.17978923,0,2.682628928,14119.1,9890000
India,IND,Asia,Southern Asia,2014,BiocapPerCap,0.34907593,0.003251691,0.021468208,0.028392197,0.049985506,0,0.452173533,1646.78,1295292000
Indonesia,IDN,Asia,South-Eastern Asia,2014,BiocapPerCap,0.494505933,0.05532244,0.284258422,0.374437113,0.062521244,0,1.271045152,3692.94,254455000
"Iran, Islamic Republic of",IRN,Asia,Southern Asia,2014,BiocapPerCap,0.361002661,0.069917299,0.061279113,0.191500058,0.0714249,0,0.755124032,6161.1,78144000
Iraq,IRQ,Asia,Western Asia,2014,BiocapPerCap,0.233630547,0.017669221,0.043955186,0.002049164,0.050620099,0,0.347924217,5203.44,35273000
Ireland,IRL,Europe,Northern Europe,2014,BiocapPerCap,0.624770474,0.745028695,0.495852343,1.47576358,0.101228202,0,3.442643293,54527.3,4675000
Israel,ISR,Asia,Western Asia,2014,BiocapPerCap,0.154900037,0.006471626,0.032126524,0.01559108,0.059134658,0,0.268223925,32661.3,7939000
Italy,ITA,Europe,Southern Europe,2014,BiocapPerCap,0.445813416,0.041924953,0.338046493,0.062187699,0.049013711,0,0.936986272,33626.1,59821000
Jamaica,JAM,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.157791723,0,0.102174447,0.114202505,0.045566433,0,0.419735108,4714.86,2783000
Japan,JPN,Asia,Eastern Asia,2014,BiocapPerCap,0.092488877,0.004727198,0.347431443,0.101072645,0.058817816,0,0.604537979,46466.1,126795000
Jordan,JOR,Asia,Western Asia,2014,BiocapPerCap,0.091148557,0.016800283,0.024707709,0.002762596,0.073825567,0,0.209244712,3348.83,7416000
Kazakhstan,KAZ,Asia,Central Asia,2014,BiocapPerCap,1.304757793,1.824891018,0.224246759,0.053343189,0.039621473,0,3.446860231,10645.5,17372000
Kenya,KEN,Africa,Eastern Africa,2014,BiocapPerCap,0.225740131,0.229289561,0.016489125,0.01802369,0.043260794,0,0.532803301,1075.64,44864000
