country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Afghanistan,AFG,Asia,Southern Asia,2014,EFConsPerCap,0.313917307,0.186871411,0.070215378,0.000247764,0.046125014,0.154883189,0.772260062,610.242,31628000
Albania,ALB,Europe,Southern Europe,2014,EFConsPerCap,0.650139557,0.238943601,0.29027192,0.025270675,0.039772281,0.897236602,2.141634637,4413.56,2890000
Algeria,DZA,Africa,Northern Africa,2014,EFConsPerCap,0.582685019,0.183246027,0.173109368,0.01544039,0.028062842,1.46621158,2.448755226,4675.89,38934000
Angola,AGO,Africa,Middle Africa,2014,EFConsPerCap,0.383092755,0.095956366,0.110244086,0.147901522,0.047258079,0.774420571,1.55887338,3747.57,24228000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0,0,0,0,0,0,4.184473747,12403.5,91000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFConsPerCap,1.129333625,0.842534073,0.245152102,0.086650911,0.105008823,1.281048741,3.689728277,10323.2,42980000
Armenia,ARM,Asia,Western Asia,2014,EFConsPerCap,0.621757962,0.224414498,0.2526928,0.00646562,0.061555927,0.851708106,2.018594914,3827.34,3006000
Aruba,ABW,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0,0,0,0,0,0,6.407520227,0,103000
Australia,AUS,Oceania,Australia and New Zealand,2014,EFConsPerCap,0.679401215,0.458460156,0.862707379,0.121740908,0.063370027,4.700066732,6.885746416,54394.3,23622000
Austria,AUT,Europe,Western Europe,2014,EFConsPerCap,0.917244125,0.252585068,0.606396922,0.063573029,0.151161595,3.885462847,5.876423585,47886.6,8517000
Azerbaijan,AZE,Asia,Western Asia,2014,EFConsPerCap,0.54565389,0.216711052,0.092280446,0.008692314,0.046346409,1.259900838,2.169584949,6122.98,9630000
Bahamas,BHS,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0.856982141,0.943476647,0.161247245,0.134440463,0.042399646,2.684893456,4.823439598,21078.7,383000
Bahrain,BHR,Asia,Western Asia,2014,EFConsPerCap,0.498442603,0.411851048,0.348516412,0.081978281,0.074089047,7.296194313,8.711071703,22390.7,1362000
Bangladesh,BGD,Asia,Southern Asia,2014,EFConsPerCap,0.33606993,0.004559096,0.081035154,0.021618156,0.078248622,0.273097316,0.794628274,922.161,159078000
