country,UN_region,year,BC_crop_land,BC_grazing_land,BC_forest_land,BC_fishing_ground,BC_built_up_land,BC_total,EF_crop_land,EF_grazing_land,EF_forest_land,EF_fishing_ground,EF_built_up_land,EF_total,population
Afghanistan,Asia,2014,0.251691077,0.187020286,0.019240324,0,0.046125014,0.504076701,0.313917307,0.186871411,0.070215378,0.000247764,0.046125014,0.772260062,31628000
Albania,Europe,2014,0.395455656,0.21857232,0.315863091,0.081883656,0.039772281,1.051547003,0.650139557,0.238943601,0.29027192,0.025270675,0.039772281,2.141634637,2890000
Algeria,Africa,2014,0.202869592,0.274074612,0.028272274,0.008251253,0.028062842,0.541530572,0.582685019,0.183246027,0.173109368,0.01544039,0.028062842,2.448755226,38934000
Angola,Africa,2014,0.24950477,1.229495166,0.53937284,0.22470559,0.047258079,2.290336445,0.383092755,0.095956366,0.110244086,0.147901522,0.047258079,1.55887338,24228000
Antigua and Barbuda,Latin America and the Caribbean,2014,0,0,0,0,0,0.933321582,0,0,0,0,0,4.184473747,91000
Argentina,Latin America and the Caribbean,2014,2.588882258,1.792340705,0.610837954,1.611977007,0.105008823,6.709046747,1.129333625,0.842534073,0.245152102,0.086650911,0.105008823,3.689728277,42980000
Armenia,Asia,2014,0.353566421,0.261703193,0.093546309,0.01553377,0.061555927,0.78590562,0.621757962,0.224414498,0.2526928,0.00646562,0.061555927,2.018594914,3006000
Aruba,Latin America and the Caribbean,2014,0,0,0,0,0,0.571144371,0,0,0,0,0,6.407520227,103000
Australia,Oceania,2014,2.36218343,5.732847304,1.954944064,3.137665027,0.063370027,13.25100985,0.679401215,0.458460156,0.862707379,0.121740908,0.063370027,6.885746416,23622000
Austria,Europe,2014,0.696275871,0.149234766,2.014664741,0.003093079,0.151161595,3.014430052,0.917244125,0.252585068,0.606396922,0.063573029,0.151161595,5.876423585,8517000
Azerbaijan,Asia,2014,0.336213487,0.194118536,0.113214161,0.015032555,0.046346409,0.704925149,0.54565389,0.216711052,0.092280446,0.008692314,0.046346409,2.169584949,9630000
